,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
70,threshold_strategy,fixed_frequency_delta_percentage3,[449],"[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Sliding,True,200,3,9
71,threshold_strategy,fixed_cramersv_frequency,[449],"[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Sliding,True,200,3,9
72,time_series_strategy,cpd_frequency_delta3,"[138, 166, 189, 195, 300, 327, 335]","[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.53,8.33,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Sliding,True,200,3,9
73,time_series_strategy,cpd_prob_freq_delta3,"[165, 189, 195, 266, 274, 299, 318, 327, 335]","[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.47,8.25,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Sliding,True,200,3,9
74,time_series_strategy,cpd_cramersv_frequency,[335],"[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Sliding,True,200,3,9
75,threshold_strategy,gtest_frequency3,[335],"[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Sliding,True,200,3,9
76,threshold_strategy,fixed_frequency_delta_percentage3,[335],"[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Sliding,True,200,3,9
77,threshold_strategy,fixed_cramersv_frequency,[335],"[30, 63, 97, 130, 165, 199, 234, 267, 302, 335]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Sliding,True,200,3,9
78,time_series_strategy,cpd_frequency_delta3,"[95, 139, 211, 232, 267, 276, 325, 339, 345]","[30, 65, 100, 134, 169, 204, 240, 275, 310, 345]",0.59,9.75,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr7.5k.MXML,fr,7500,Fixed,1000,Fixed,True,200,3,9
79,time_series_strategy,cpd_prob_freq_delta3,"[103, 139, 215, 232, 325, 345]","[30, 65, 100, 134, 169, 204, 240, 275, 310, 345]",0.43,8.4,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr7.5k.MXML,fr,7500,Fixed,1000,Fixed,True,200,3,9
80,time_series_strategy,cpd_cramersv_frequency,[345],"[30, 65, 100, 134, 169, 204, 240, 275, 310, 345]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr7.5k.MXML,fr,7500,Fixed,1000,Fixed,True,200,3,9
81,threshold_strategy,gtest_frequency3,[345],"[30, 65, 100, 134, 169, 204, 240, 275, 310, 345]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\fr\fr7.5k.MXML,fr,7500,Fixed,1000,Fixed,True,200,3,9
